,City,Temperature,Humidity,Wind_Speed,Source,Date
0,Phnom Penh,27.91,61,5.38,OpenWeatherMap,2026-03-09
1,Siem Reap,26.58,47,2.62,OpenWeatherMap,2026-03-09
2,Battambang,28.27,47,0.83,OpenWeatherMap,2026-03-09
3,Poipet,28.08,40,2.85,OpenWeatherMap,2026-03-09
4,Ta Khmau,27.29,64,5.19,OpenWeatherMap,2026-03-09
5,Sihanoukville,24.97,88,1.54,OpenWeatherMap,2026-03-09
6,Samraong,25.02,62,1.46,OpenWeatherMap,2026-03-09
7,Pursat,23.55,54,2.0,OpenWeatherMap,2026-03-09
8,Stueng Saen,26.93,53,3.76,OpenWeatherMap,2026-03-09
9,Chbar Mon,28.73,57,4.2,OpenWeatherMap,2026-03-09
10,Bavet,26.54,74,1.96,OpenWeatherMap,2026-03-09
11,Doun Kaev,25.54,75,5.79,OpenWeatherMap,2026-03-09
12,Svay Rieng,26.71,72,3.73,OpenWeatherMap,2026-03-09
13,Kampong Chhnang,28.82,46,1.1,OpenWeatherMap,2026-03-09
14,Kampong Cham,26.96,61,2.54,OpenWeatherMap,2026-03-09
15,Pailin,23.6,77,1.18,OpenWeatherMap,2026-03-09
16,Prey Veng,27.26,66,3.66,OpenWeatherMap,2026-03-09
17,Kampot,26.4,75,2.18,OpenWeatherMap,2026-03-09
18,Banlung,22.56,67,3.06,OpenWeatherMap,2026-03-09
19,Kratié,27.19,53,4.38,OpenWeatherMap,2026-03-09
20,Suong,26.74,64,2.03,OpenWeatherMap,2026-03-09
21,Takeo,25.35,76,5.07,OpenWeatherMap,2026-03-09
22,Lumphat,24.65,66,4.34,OpenWeatherMap,2026-03-09
23,Sen Monorom,21.12,80,4.72,OpenWeatherMap,2026-03-09
